"stock","sex","genotype.x","video.name","test.temp","run","id.ind","acclim.temp","date.exp","age","test.oxygen","acclim.oxygen","acclim.time","surv.time","video.time","genotype.y","ws","fw","cell.area","cell.number","iod","wing.area.z","fresh.mass.z","cell.area.z","cell.number.z","iod.z"
"25182","male","DGRP-324","20190716-38-RUN 4",38,"4","4",25,"20190716","8",10,10,8,1.4983105537896,1.73772259332804,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180829-37-RUN 2",37,"2","2",25,"20180829","7",21,21,7,1.71683716775748,2.08104711115023,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190715-37-RUN 3",37,"3","7",25,"20190715","8",10,10,8,1.93205076427174,2.00007237638245,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-39-RUN 2",39,"2","3",25,"20180830","8",21,21,8,0.989350785365714,1.45509875915746,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-38-RUN 2",38,"2","4",25,"20180830","8",21,21,8,1.42078061954857,1.69034377412343,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20181213-39-RUN 2",39,"2","27",25,"20181213","7",21,21,7,0.714609138643194,1.62169546232928,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190715-37-RUN 3",37,"3","2",25,"20190715","8",10,10,8,1.79830528202198,2.00007237638245,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-39-RUN 2",39,"2","4",25,"20180830","8",21,21,8,1.25567444356967,1.45509875915746,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20190716-38-RUN 4",38,"4","6",25,"20190716","8",10,10,8,1.51851393987789,1.73772259332804,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-39-RUN 2",39,"2","1",25,"20180830","8",21,21,8,1.22229366250519,1.45509875915746,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180829-37-RUN 2",37,"2","7",25,"20180829","7",21,21,7,1.79923658921302,2.08104711115023,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
"25182","male","DGRP-324","20180830-39-RUN 2",39,"2","10",25,"20180830","8",21,21,8,1.17172645365323,1.45509875915746,"DGRP-324",703639.305333333,0.72,116.057338235294,5928.63027547461,462.655333333333,-1.72615689629501,-0.337598115514916,-2.28068399588857,0.216154739559069,1.04986637950994
