"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"25180","DGRP-313","female",5,"25180","B3",862601.442,1.13,53,7845.061,394.455666666667,148.020018867925,5827.59986518907
"28191","DGRP-385","female",5,"28191","B3",1150593.454,1.09,52,7883.028,479.333666666667,151.596692307692,7589.83218225281
"28197","DGRP-440","female",5,"28197","B3",1160419.557,1.26,47,7853.883,490.023,167.103893617021,6944.29993151158
"28247","DGRP-843","female",5,"28247","B3",1070306.17733333,1.4,47,7869.75,539.359333333333,167.441489361702,6392.12050378559
"28248","DGRP-849","female",5,"28248","B3",1126389.89733333,1.17,52,7854.159,481.440333333333,151.041519230769,7457.48522042059
"25180","DGRP-313","female",5,"25180","B4",867812.280333333,1.14,53,7818.899,428.263666666667,147.526396226415,5882.42038395261
"25190","DGRP-380","male",5,"25190","B4",787727.667666667,0.53,59,7814.3,433.450333333333,132.445762711864,5947.54903092194
"28191","DGRP-385","female",5,"28191","B4",1254553.328,1.29,50,7856.091,477.409666666667,157.12182,7984.59009703426
"28197","DGRP-440","female",5,"28197","B4",1068729.646,1.48,49,7853.883,501.226,160.283326530612,6667.75309155993
"28247","DGRP-843","female",5,"28247","B4",1045874.16166667,1.35,48,7869.75,528.232,163.953125,6379.10476952889
"28248","DGRP-849","female",5,"28248","B4",1123569.373,1.28,49,7841.756,468.363666666667,160.035836734694,7020.73607964849
"25190","DGRP-380","male",5,"25190","B5",781552.963333333,0.33,58,7814.3,423.586,134.729310344828,5800.91266950761
"28191","DGRP-385","female",5,"28191","B5",1193912.36433333,1.08,50,7883.028,463.994,157.66056,7572.67616157987
"28197","DGRP-440","female",5,"28197","B5",1031430.05433333,1.37,47,7853.883,465.367666666667,167.103893617021,6172.38791992021
"28247","DGRP-843","female",5,"28247","B5",1035297.915,1.47,50,7842.857,516.760666666667,156.85714,6600.26005191731
"28248","DGRP-849","female",5,"28248","B5",1076144.56133333,1.26,49,7880.439,466.977333333333,160.825285714286,6691.38908445752
"25180","DGRP-313","female",5,"25180","B6",879939.724666667,1.07,52,7871.961,403.210333333333,151.383865384615,5812.63876722289
"25190","DGRP-380","male",5,"25190","B6",753399.095333333,0.41,62,7814.3,418.996333333333,126.037096774194,5977.59798199028
"28191","DGRP-385","female",5,"28191","B6",1176537.602,1.21,50,7856.091,474.638333333333,157.12182,7488.05991427543
"28248","DGRP-849","female",5,"28248","B6",1111022.26466667,1.24,49,7907.46,469.213333333333,161.376734693878,6884.64955480858
"25180","DGRP-313","female",5,"25180","B7",860680.429,1.07,53,7845.061,433.411,148.020018867925,5814.6218030682
"25190","DGRP-380","male",5,"25190","B7",742017.221,0.43,61,7841.095,427.247333333333,128.542540983607,5772.54203411641
"28191","DGRP-385","female",5,"28191","B7",1142130.68433333,1.3,50,7883.028,483.869333333333,157.66056,7244.23840898024
"28247","DGRP-843","female",5,"28247","B7",1048770.089,1.27,47,7847.265,515.808666666667,166.963085106383,6281.44891028913
"28248","DGRP-849","female",5,"28248","B7",1073157.525,1.21,48,7907.46,475.099,164.73875,6514.29930723646
"25180","DGRP-313","female",5,"25180","B8",874444.691666667,1.11,51,7845.061,416.349666666667,153.824725490196,5684.68228290386
"25190","DGRP-380","male",5,"25190","B8",810423.635,0.52,57,7867.267,421.960666666667,138.022228070175,5871.68926578951
"28191","DGRP-385","female",5,"28191","B8",1164194.74033333,1.24,51,7841.456,466.587666666667,153.754039215686,7571.79938993473
"28197","DGRP-440","female",5,"28197","B8",1046796.71533333,1.26,48,7853.883,473.88,163.6225625,6397.63061609143
"28247","DGRP-843","female",5,"28247","B8",1047571.13066667,1.52,49,7869.75,524.637333333333,160.607142857143,6522.56874775776
"28248","DGRP-849","female",5,"28248","B8",1053158.699,1.3,51,7907.46,486.593,155.048235294118,6792.4584694706
"25180","DGRP-313","female",5,"25180","B9",869617.576666667,1.1,52,7891.961,429.020333333333,151.768480769231,5729.89577453141
"28191","DGRP-385","female",5,"28191","B9",1166146.16666667,1.31,52,7856.091,476.330666666667,151.078673076923,7718.800694476
"28197","DGRP-440","female",5,"28197","B9",1181258.91266667,1.31,47,7907.118,487.274666666667,168.236553191489,7021.41651298657
"28247","DGRP-843","female",5,"28247","B9",1064075.32666667,1.46,50,7869.75,534.394666666667,157.395,6760.54084733738
"28248","DGRP-849","female",5,"28248","B9",1101446.02,1.19,51,7907.46,477.119666666667,155.048235294118,7103.89265579592
"25203","DGRP-732","male",5,"25203","C1",907880.908666667,0.8,49,7907.129,464.351333333333,161.369979591837,5626.08306057314
"28198","DGRP-441","male",5,"28198","C1",844988.363666667,0.83,55,7842.857,455.659,142.5974,5925.69264002476
"25198","DGRP-555","female",5,"25198","C10",1037014.65433333,0.99,53,7853.883,477.014666666667,148.186471698113,6998.03863638746
"25201","DGRP-712","female",5,"25201","C10",1080374.28266667,1.12,44,7845.061,493.102666666667,178.296840909091,6059.41348796821
"25203","DGRP-732","male",5,"25203","C10",895714.18,0.85,50,7887.462,550.104,157.74924,5678.08871852568
"28135","DGRP-88","female",5,"28135","C10",908858.872666667,0.98,46,7856.091,480.254333333333,170.784586956522,5321.66800800381
"28196","DGRP-426","female",5,"28196","C10",1081132.16733333,1.33,42,7823.531,470.052,186.274547619048,5803.97150953962
"28198","DGRP-441","male",5,"28198","C10",829119.409333333,0.86,58,7869.75,452.215,135.685344827586,6110.6039888603
"25198","DGRP-555","female",5,"25198","C11",1072036.351,0.98,52,7853.883,478.767333333333,151.036211538462,7097.87633098176
"25201","DGRP-712","female",5,"25201","C11",1103693.39933333,1.01,43,7853.883,468.413333333333,182.648441860465,6042.72003687009
"25203","DGRP-732","male",5,"25203","C11",857336.140666667,0.7,50,7987.952,493.221,159.75904,5366.43272685331
"28135","DGRP-88","female",5,"28135","C11",1029357.30366667,1.22,45,7856.091,450.888,174.5798,5896.19935219691
"28196","DGRP-426","female",5,"28196","C11",1119323.13533333,1.38,40,7900.455,496.725333333333,197.511375,5667.13251494165
"28198","DGRP-441","male",5,"28198","C11",814363.317,0.71,54,7860.509,472.685666666667,145.564981481481,5594.50019305366
"25198","DGRP-555","female",5,"25198","C12",984109.677666667,1.02,55,7853.883,451.285333333333,142.797872727273,6891.62701706489
"25201","DGRP-712","female",5,"25201","C12",1105600.08766667,1.17,44,7853.883,485.380333333333,178.497340909091,6193.93029630481
"25203","DGRP-732","male",5,"25203","C12",890038.319666667,0.76,48,8015.008,551.845666666667,166.979333333333,5330.2304057588
"28196","DGRP-426","female",5,"28196","C12",1058139.22066667,1.42,40,7956.508,495.435666666667,198.9127,5319.61619678717
"28198","DGRP-441","male",5,"28198","C12",875603.201333333,0.83,55,7842.857,480.675,142.5974,6140.3868607235
"25198","DGRP-555","female",5,"25198","C2",1012146.19566667,1.06,54,7853.883,486.154,145.442277777778,6959.09202696297
"25201","DGRP-712","female",5,"25201","C2",1136233.25866667,1.11,43,7853.883,464.808666666667,182.648441860465,6220.87572767084
"25203","DGRP-732","male",5,"25203","C2",907428.722333333,0.84,49,7860.509,485.234,160.418551020408,5656.63208251951
"28135","DGRP-88","female",5,"28135","C2",982180.134666667,1.04,48,7856.091,438.860333333333,163.6685625,6001.03110618245
"28196","DGRP-426","female",5,"28196","C2",1153806.51766667,1.48,40,7956.508,487.255333333333,198.9127,5800.56737285586
"28198","DGRP-441","male",5,"28198","C2",788815.518666667,0.87,56,7869.75,433.607,140.53125,5613.0968639834
"25190","DGRP-380","female",5,"25190","C3",1032187.64933333,0.9,48,7894.909,463.045,164.477270833333,6275.56405881309
"25198","DGRP-555","female",5,"25198","C3",1069750.86933333,0.97,51,7841.756,475.951,153.759921568627,6957.28027446914
"25201","DGRP-712","female",5,"25201","C3",1134423.42933333,1.07,41,7853.883,488.926333333333,191.55812195122,5922.08473218492
"28135","DGRP-88","female",5,"28135","C3",971951.485,1.07,48,7823.07,443.124,162.980625,5963.60140967676
"28196","DGRP-426","female",5,"28196","C3",1112587.17533333,1.36,40,7847.265,470.621,196.181625,5671.2099073159
"28198","DGRP-441","male",5,"28198","C3",813521.913333333,0.8,56,7869.75,431.338333333333,140.53125,5788.90398636128
"25190","DGRP-380","female",5,"25190","C4",1001750.658,0.82,50,7862.72,475.300333333333,157.2544,6370.25519158764
"25198","DGRP-555","female",5,"25198","C4",1069840.684,1.17,53,7853.883,472.106,148.186471698113,7219.55703338081
"25201","DGRP-712","female",5,"25201","C4",1115281.21033333,1.16,44,7853.883,482.456,178.497340909091,6248.16708558896
"25203","DGRP-732","male",5,"25203","C4",881032.128333333,0.62,48,8068.26,460.866333333333,168.08875,5241.4699278407
"28135","DGRP-88","female",5,"28135","C4",1018628.68366667,1.29,48,7823.07,465.839666666667,162.980625,6249.99863429574
"28196","DGRP-426","female",5,"28196","C4",1136090.88866667,1.48,40,8089.2,479.602666666667,202.23,5617.81579719461
"28198","DGRP-441","male",5,"28198","C4",835580.379333333,0.81,57,7842.857,455.789333333333,137.59398245614,6072.7974030382
"25201","DGRP-712","female",5,"25201","C5",1189594.22833333,1.17,42,7853.883,522.404,186.997214285714,6361.56122901245
"25203","DGRP-732","male",5,"25203","C5",879883.492,0.86,48,7907.129,518.574666666667,164.731854166667,5341.30752337542
"28135","DGRP-88","female",5,"28135","C5",1034044.75733333,0.94,46,7856.091,444.435333333333,170.784586956522,6054.67258937471
"28196","DGRP-426","female",5,"28196","C5",1114453.34466667,1.45,42,7982.887,486.976,190.068738095238,5863.42265348363
"28198","DGRP-441","male",5,"28198","C5",824653.544,0.59,54,7869.75,453.437666666667,145.736111111111,5658.53951853617
"25190","DGRP-380","female",5,"25190","C6",983935.043666667,0.63,50,7889.68,445.309333333333,157.7936,6235.58270846642
"25198","DGRP-555","female",5,"25198","C6",946510.303,0.87,54,7853.883,454.378666666667,145.442277777778,6507.80720339226
"25203","DGRP-732","male",5,"25203","C6",913973.209333333,0.81,49,7934.242,541.985666666667,161.923306122449,5644.48213923061
"28135","DGRP-88","female",5,"28135","C6",1031757.88633333,1.18,46,7849.895,464.996666666667,170.649891304348,6046.05065052887
"28198","DGRP-441","male",5,"28198","C6",866636.037333333,0.84,53,7869.75,448.007,148.485849056604,5836.4890852526
"25198","DGRP-555","female",5,"25198","C7",1128931.48933333,1.03,51,7853.883,491.675666666667,153.997705882353,7330.83316316273
"25201","DGRP-712","female",5,"25201","C7",1110401.78566667,1.06,43,7871.961,454.170333333333,183.068860465116,6065.48695854396
"25203","DGRP-732","male",5,"25203","C7",895187.523333333,0.78,52,8015.008,545.436333333333,154.134769230769,5807.82342492151
"28135","DGRP-88","female",5,"28135","C7",920916.537666667,0.94,47,7856.091,457.887333333333,167.150872340426,5509.49285978654
"28196","DGRP-426","female",5,"28196","C7",1120663.445,1.36,42,7983.457,493.049333333333,190.08230952381,5895.67460437252
"25201","DGRP-712","female",5,"25201","C8",1137108.578,1.09,41,7853.883,481.989666666667,191.55812195122,5936.10214183226
"28135","DGRP-88","female",5,"28135","C8",1101002.97033333,1.33,46,7823.07,517.453666666667,170.066739130435,6473.94649866783
"28198","DGRP-441","male",5,"28198","C8",774211.371666667,0.63,57,7842.857,422.555,137.59398245614,5626.78220258255
"25198","DGRP-555","female",5,"25198","C9",1131563.05633333,1.15,51,7853.883,476.902,153.997705882353,7347.92151512825
"25201","DGRP-712","female",5,"25201","C9",1148488.32133333,1.08,41,7845.061,483.804333333333,191.342951219512,6002.25048277721
"25203","DGRP-732","male",5,"25203","C9",926332.370666667,0.94,50,7854.45,545.527666666667,157.089,5896.86337468993
"28135","DGRP-88","female",5,"28135","C9",904270.089666667,0.97,47,7856.091,447.533666666667,167.150872340426,5409.90350217854
