"stock","genotype","sex","age","plate","well","ws","fw","iod","cell.area","cell.number","fresh.mass.z","iod.z","wing.area.z","cell.number.z","cell.area.z"
"25201","DGRP-712","female",5,"25201","C8",1137108.578,1.09,481.989666666667,191.55812195122,5936.10214183226,-0.420485276079726,0.255080999227256,0.79987616757778,-0.876395243893806,1.7332486475442
"28135","DGRP-88","female",5,"28135","C8",1101002.97033333,1.33,517.453666666667,170.066739130435,6473.94649866783,0.746534114622375,1.58223904122167,0.413590827812139,0.158390960331316,0.235527594647582
"25198","DGRP-555","female",5,"25198","C9",1131563.05633333,1.15,476.902,153.997705882353,7347.92151512825,-0.128730428404202,0.0646868606175661,0.740545945498044,1.83987609330102,-0.884313301400867
"25201","DGRP-712","female",5,"25201","C9",1148488.32133333,1.08,483.804333333333,191.342951219512,6002.25048277721,-0.469111084025647,0.322990695262812,0.921625344618194,-0.749129075210846,1.71825353357068
"28135","DGRP-88","female",5,"28135","C9",904270.089666667,0.97,447.533666666667,167.150872340426,5409.90350217854,-1.00399497143078,-1.03435497795974,-1.69120763875815,-1.88877565855373,0.0323226582665247
"28196","DGRP-426","female",5,"28196","C9",1112101.162,1.5,490.969333333333,194.93735,5704.91576909197,1.57317284970303,0.591124221398894,0.532327750295825,-1.32118650381147,1.96874494079815
"25198","DGRP-555","female",5,"25198","D1",1009317.03666667,1.12,448.578333333333,142.577381818182,7079.08241682943,-0.274607852241963,-0.995260748096518,-0.567335247858102,1.3226428332689,-1.68018855635507
"28196","DGRP-426","female",5,"28196","D1",1118780.37033333,1.34,469.856,194.718463414634,5745.63064392614,0.795159922568296,-0.198993366200972,0.603787017350002,-1.24285307844464,1.95349087130281
"28198","DGRP-441","female",5,"28198","D1",1104453.28833333,1.48,517.700666666667,183.61,6015.21316014015,1.47592123381119,1.59148244400682,0.45050496240403,-0.72418951874899,1.17934899033745
"28198","DGRP-441","female",5,"28198","D10",1050618.69533333,1.32,486.542,179.437045454545,5855.08244784087,0.697908306676454,0.425441528021867,-0.125458589854556,-1.03227316758551,0.888538393009846
"28198","DGRP-441","female",5,"28198","D11",1098737.00833333,1.42,525.343333333333,177.797045454545,6179.72590896754,1.18416638613566,1.87749153855195,0.389347837383976,-0.407675046221429,0.774247816771313
"25190","DGRP-380","female",5,"25190","D2",1006285.64966667,0.73,470.245666666667,161.120591836735,6245.54340444794,-2.17101436213288,-0.184410993925869,-0.59976733896336,-0.281045408010706,-0.387923825664476
"28198","DGRP-441","female",5,"28198","D2",1090962.336,1.39,498.510333333333,178.406704545455,6115.02991874414,1.0382889622979,0.873328676471076,0.306168460607572,-0.532146963237981,0.816734578240315
"25190","DGRP-380","female",5,"25190","D3",1016701.422,0.85,458.009333333333,161.01387755102,6314.37139123513,-1.58750466678183,-0.64232742151042,-0.488331459200668,-0.148623731949972,-0.395360677620118
"28198","DGRP-441","female",5,"28198","D3",1091874.091,1.32,497.526,182.982558139535,5967.09381539732,0.697908306676454,0.836492281836065,0.315923111275955,-0.816768781621976,1.13562295875896
"28198","DGRP-441","female",5,"28198","D4",1057025.13133333,1.55,493.935333333333,178.823863636364,5910.98475247567,1.81630188943263,0.702119900187396,-0.0569176493504222,-0.924719871013202,0.845806134876371
"25190","DGRP-380","female",5,"25190","D5",953175.447333333,0.66,441.319333333333,154.287156862745,6177.93124661235,-2.51139501775432,-1.26691200646662,-1.1679808071525,-0.411127888707903,-0.864141643265615
"25190","DGRP-380","female",5,"25190","D6",1014684.38933333,1,470.212666666667,163.369916666667,6210.9622752863,-0.858117547593015,-0.185645942476111,-0.509911213685241,-0.347577807074125,-0.231169782395835
"25190","DGRP-380","female",5,"25190","D7",1002789.02266667,1.05,459.324666666667,153.759921568627,6521.78417130041,-0.61498850786341,-0.593104118689602,-0.637176922571492,0.250428299857711,-0.900884341788811
"28198","DGRP-441","female",5,"28198","D7",1072129.46666667,1.18,549.178666666667,178.227545454545,6015.50935312689,0.0171469954335612,2.76947367020523,0.104680054807858,-0.72361965794712,0.804249093033927
"25190","DGRP-380","female",5,"25190","D8",953888.795,1,569.308333333333,157.48344,6057.07365168046,-0.858117547593015,3.52277981162562,-1.16034886952294,-0.643651982940581,-0.64139466669343
"28198","DGRP-441","female",5,"28198","D8",1056171.94633333,1.33,487.882333333333,175.449555555556,6019.80405700657,0.746534114622375,0.475600397926168,-0.0660456734692964,-0.715356857994972,0.610652711119122
"25190","DGRP-380","female",5,"25190","D9",954436.318333333,0.84,379.577,153.759921568627,6207.31533026531,-1.63613047472775,-3.5774757955156,-1.15449104713705,-0.354594350703013,-0.900884341788811
"28198","DGRP-441","female",5,"28198","D9",1113101.675,1.45,523.677,174.442111111111,6380.92297731371,1.33004380997343,1.81513287387859,0.543032001771469,-0.020581739376888,0.540444536677701
"25182","DGRP-324","female",5,"25182","F1",851135.017666667,1.17,491.277,137.944684210526,6170.11827993092,-0.0314788125123598,0.60263793364006,-2.25968718161707,-0.426159654000713,-2.00303836069525
"25182","DGRP-324","female",5,"25182","F10",897271.071666667,1.05,506.541666666667,137.485789473684,6526.28228052915,-0.61498850786341,1.17388272060801,-1.76608847364441,0.259082441740658,-2.03501844844311
"25182","DGRP-324","female",5,"25182","F11",874914.204,1.25,495.001333333333,141.998381818182,6161.43784737112,0.357527651055008,0.742012480628576,-2.0052793024609,-0.442860381163559,-1.72053870491734
"25182","DGRP-324","female",5,"25182","F12",871103.632,1.28,518.394333333333,139.703553571429,6235.37204123169,0.503405074892771,1.61744131201746,-2.04604770922228,-0.300614612745443,-1.88046385289896
"25182","DGRP-324","female",5,"25182","F2",838435.700333333,1.01,489.178,140.511517857143,5967.02471882601,-0.809491739647094,0.524087721307941,-2.39555416815797,-0.816901720041507,-1.82415732619505
"25182","DGRP-324","female",5,"25182","F4",857015.448333333,1.15,498.031666666667,141.998381818182,6035.38883584375,-0.128730428404202,0.855415685378688,-2.19677384751638,-0.685372506701417,-1.72053870491734
"25182","DGRP-324","female",5,"25182","F5",856293.238,1.09,482.526333333333,139.462696428571,6139.94465852428,-0.420485276079726,0.275164505953405,-2.20450060471624,-0.48421222397989,-1.89724903683092
"25182","DGRP-324","female",5,"25182","F8",841536.008666667,1.21,499.614,132.825254237288,6335.66269832459,0.163024419271324,0.914630844651436,-2.36238470404102,-0.107660299748658,-2.35980823975268
"25182","DGRP-324","female",5,"25182","F9",899617.509,1.22,503.578,145.608277777778,6178.34042631123,0.211650227217245,1.06297436141395,-1.74098449669675,-0.410340647004856,-1.46896730895186
"28141","DGRP-129","female",5,"28141","H1",1106527.248,1.11,503.118666666667,171.217456521739,6462.70111984467,-0.323233660187884,1.04578487553281,0.472693765370483,0.136755402163603,0.315720371318214
"28141","DGRP-129","female",5,"28141","H10",1083965.63166667,1.17,472.205,165.195583333333,6561.71072975619,-0.0314788125123598,-0.11108748303368,0.231312379092705,0.327245043116504,-0.103940212058799
"28141","DGRP-129","female",5,"28141","H11",1033587.698,1.03,478.651666666667,164.646020833333,6277.63545555876,-0.712240123755252,0.130164082236015,-0.307669194151523,-0.219301873226502,-0.142238879622266
"28141","DGRP-129","female",5,"28141","H12",1104376.22833333,1.18,490.381333333333,167.574531914894,6590.35842567184,0.0171469954335612,0.569119683594564,0.449680515726462,0.38236180717584,0.0618472295439162
"28141","DGRP-129","female",5,"28141","H2",1066827.933,1.03,464.727666666667,171.804543478261,6209.54435430859,-0.712240123755252,-0.390909360599825,0.0479602025174584,-0.350305817599415,0.356634094832255
"28141","DGRP-129","female",5,"28141","H3",1133231.92466667,1.12,462.331,167.574531914894,6762.55461803828,-0.274607852241963,-0.480599058339703,0.758400772291706,0.71365884881304,0.0618472295439162
"28141","DGRP-129","female",5,"28141","H4",1100620.375,1.08,467.396,172.378,6384.92368515704,-0.469111084025647,-0.291053167219082,0.409497531012024,-0.0128845734016414,0.396597921854995
"28141","DGRP-129","female",5,"28141","H5",1105822.68666667,1.07,491.400666666667,168.149127659574,6576.4402233799,-0.517736891971568,0.607265872146539,0.465155830639023,0.3555838675428,0.101890448302261
"28141","DGRP-129","female",5,"28141","H6",1120419.14766667,1.13,486.903,168.149127659574,6663.24686462249,-0.225982044296043,0.43895111670786,0.621319907665924,0.522595594358059,0.101890448302261
"28258","DGRP-892","female",5,"28258","B10",1083287.567,1.31,484.749839285581,170.2338261,6363.527108,0.649282498730533,0.358374065110524,0.224057925918399,-0.054050540057888,0.247171781253395
"28258","DGRP-892","female",5,"28258","B11",1048950.144,1.29,483.780124932346,170.8175435,6140.763544,0.552030882838691,0.322084751938506,-0.143310025140237,-0.482636728425561,0.287850682476846
"28258","DGRP-892","female",5,"28258","B12",1072340.974,1.47,492.507554111456,166.6118298,6436.163479,1.42729542586527,0.648688570486675,0.106942921642078,0.08569828073109,-0.00524287988126108
"28258","DGRP-892","female",5,"28258","B2",1074264.366,1.37,487.658982345284,170.8175435,6288.958055,0.941037346406059,0.467242004626581,0.127520836825829,-0.197517746371112,0.287850682476846
"28258","DGRP-892","female",5,"28258","B5",1076727.921,1.28,483.295267755729,174.6134889,6166.350195,0.503405074892771,0.303940095352497,0.15387782793347,-0.433409264884065,0.552387747803683
"28258","DGRP-892","female",5,"28258","B6",963615.1337,1.25,481.840696225878,163.7001458,5886.464723,0.357527651055008,0.249506125594468,-1.05628907681452,-0.971895206974519,-0.208156320237676
"28258","DGRP-892","female",5,"28258","B7",1005360.085,1.11,475.052695753237,159.8113469,6290.918035,-0.323233660187884,-0.00451906660966286,-0.609669735982695,-0.193746840831655,-0.4791642880162
"28258","DGRP-892","female",5,"28258","B8",1064867.205,1.25,481.840696225878,163.7001458,6504.986294,0.357527651055008,0.249506125594468,0.0269828383179593,0.218110006526533,-0.208156320237676
"28258","DGRP-892","female",5,"28258","B9",1082924.447,1.23,480.870981872643,167.1831277,6477.474505,0.260276035163166,0.21321681242245,0.220172991094128,0.16517867174736,0.0345705141399971
"25192","DGRP-399","female",5,"25192","C10",1162596.529,0.85,462.446409161189,165.7151458,7015.632296,-1.58750466678183,-0.476280137845905,1.07256571494285,1.20056790795592,-0.0677322280909417
"28173","DGRP-338","female",5,"28173","C10",1124545.347,1.31,484.749839285581,183.059814,6143.048672,0.649282498730533,0.358374065110524,0.665465136466146,-0.478240254056656,1.14100687144819
"28173","DGRP-338","female",5,"28173","C11",1106709.109,1.24,481.35583904926,170.5504783,6489.041371,0.308901843109087,0.231361469008459,0.474639453110285,0.187432755500032,0.269239075402908
"28180","DGRP-361","female",5,"28180","C11",1105969.458,1.08,473.598124223385,187.7585952,5890.379914,-0.469111084025647,-0.0589530363676896,0.466726102351016,-0.964362571218065,1.46846200008648
"28173","DGRP-338","female",5,"28173","C12",1132922.399,1.37,487.658982345284,178.9584545,6330.644742,0.941037346406059,0.467242004626581,0.755089230538425,-0.117314601987022,0.855185688145517
"28180","DGRP-361","female",5,"28180","C12",1035321.744,1.07,473.113267046768,191.6808293,5401.279554,-0.517736891971568,-0.0770976929537006,-0.289117046948705,-1.90536771253308,1.74180004608125
"29652","DGRP-57","female",5,"29652","C2",912621.338,0.79,459.537266101486,156.70922,5823.660778,-1.87925951445735,-0.585148077361963,-1.60185961200034,-1.09272692163501,-0.695349575190625
"28173","DGRP-338","female",5,"28173","C3",1067476.491,1.29,483.780124932346,174.9238222,6102.522099,0.552030882838691,0.322084751938506,0.0548989708578395,-0.556211395915718,0.574014681756735
"28180","DGRP-361","female",5,"28180","C3",1100742.265,1.18,478.446695989557,192.3380732,5722.955663,0.0171469954335612,0.122493529492404,0.410801603235339,-1.28647863134899,1.78760296319117
"28153","DGRP-195","female",5,"28153","F1",1202932.902,1.39,488.628696698518,174.6288667,6888.511187,1.0382889622979,0.503531317798599,1.50411501036164,0.955993119381514,0.553459417086172
