stock,genotype,sex,age,plate,well,ws,fw,trichomes,area,cell.area,cell.number
25180,DGRP-313,female,5,25180,B6,879939.7247,1.07,52,7871.961,151.3838654,5812.638767
25190,DGRP-380,male,5,25190,B6,753399.0953,0.41,62,7814.3,126.0370968,5977.597982
28173,DGRP-338,male,5,28173,B6,932594.0273,0.82,54,7887.462,146.0641111,6384.826637
28180,DGRP-361,male,5,28180,B6,850645.166,0.79,47,7885.861,167.7842766,5069.874146
28191,DGRP-385,female,5,28191,B6,1176537.602,1.21,50,7856.091,157.12182,7488.059914
28248,DGRP-849,female,5,28248,B6,1111022.265,1.24,49,7907.46,161.3767347,6884.649555
28258,DGRP-892,female,5,28258,B6,963615.1337,1.25,48,7857.607,163.7001458,5886.464723
25180,DGRP-313,female,5,25180,B7,860680.429,1.07,53,7845.061,148.0200189,5814.621803
25190,DGRP-380,male,5,25190,B7,742017.221,0.43,61,7841.095,128.542541,5772.542034
28191,DGRP-385,female,5,28191,B7,1142130.684,1.3,50,7883.028,157.66056,7244.238409
28197,DGRP-440,female,5,28197,B7,1131340.449,1.23,49,7853.883,160.2833265,7058.378892
28247,DGRP-843,female,5,28247,B7,1048770.089,1.27,47,7847.265,166.9630851,6281.44891
28248,DGRP-849,female,5,28248,B7,1073157.525,1.21,48,7907.46,164.73875,6514.299307
28258,DGRP-892,female,5,28258,B7,1005360.085,1.11,49,7830.756,159.8113469,6290.918035
25180,DGRP-313,female,5,25180,B8,874444.6917,1.11,51,7845.061,153.8247255,5684.682283
25190,DGRP-380,male,5,25190,B8,810423.635,0.52,57,7867.267,138.0222281,5871.689266
28191,DGRP-385,female,5,28191,B8,1164194.74,1.24,51,7841.456,153.7540392,7571.79939
28197,DGRP-440,female,5,28197,B8,1046796.715,1.26,48,7853.883,163.6225625,6397.630616
28247,DGRP-843,female,5,28247,B8,1047571.131,1.52,49,7869.75,160.6071429,6522.568748
